DRUG,atc4
pulmicort respules,A12CA
istalol,A12CA
zelboraf,A12CA
sodium chloride 3% (hypertonic),B05CB
pulmicort respules,B05CB
istalol,B05CB
zelboraf,B05CB
sodium chloride 3% (hypertonic),B05XA
pulmicort respules,B05XA
istalol,B05XA
zelboraf,B05XA
d5 1/4ns,B05CX
d5 1/4ns,V04CA
d5 1/4ns,V06DC
d5 1/4ns,A12CA
d5 1/4ns,B05CB
d5 1/4ns,B05XA
d5 1/2ns,B05CX
lorazepam,B05CX
avodart,B05CX
azor,B05CX
multaq,B05CX
requip xl,B05CX
rasagiline,B05CX
levothyroxine sodium,B05CX
d5 1/2ns,V04CA
lorazepam,V04CA
avodart,V04CA
azor,V04CA
multaq,V04CA
requip xl,V04CA
rasagiline,V04CA
levothyroxine sodium,V04CA
d5 1/2ns,V06DC
lorazepam,V06DC
avodart,V06DC
azor,V06DC
multaq,V06DC
requip xl,V06DC
rasagiline,V06DC
levothyroxine sodium,V06DC
d5 1/2ns,A12CA
multaq,A12CA
requip xl,A12CA
rasagiline,A12CA
levothyroxine sodium,A12CA
d5 1/2ns,B05CB
multaq,B05CB
requip xl,B05CB
rasagiline,B05CB
levothyroxine sodium,B05CB
d5 1/2ns,B05XA
multaq,B05XA
requip xl,B05XA
rasagiline,B05XA
levothyroxine sodium,B05XA
d5ns,B05CX
travatan z,B05CX
bumetanide,B05CX
darvocet-n 100,B05CX
necon 1/35 (28),B05CX
d5ns,V04CA
travatan z,V04CA
bumetanide,V04CA
darvocet-n 100,V04CA
necon 1/35 (28),V04CA
d5ns,V06DC
travatan z,V06DC
bumetanide,V06DC
darvocet-n 100,V06DC
necon 1/35 (28),V06DC
d5ns,A12CA
travatan z,A12CA
darvocet-n 100,A12CA
necon 1/35 (28),A12CA
d5ns,B05CB
travatan z,B05CB
darvocet-n 100,B05CB
necon 1/35 (28),B05CB
d5ns,B05XA
travatan z,B05XA
darvocet-n 100,B05XA
necon 1/35 (28),B05XA
lr,A12AA
lactated ringers,A12AA
ranexa,A12AA
levemir,A12AA
benicar hct,A12AA
propofol,A12AA
lidocaine 1%,A12AA
fentanyl citrate,A12AA
norepinephrine,A12AA
potassium chloride,A12AA
atropine sulfate,A12AA
prozac,A12AA
combigan,A12AA
axitinib,A12AA
nexium,A12AA
lactated ringers,B05XA
ranexa,B05XA
benicar hct,B05XA
atropine sulfate,B05XA
prozac,B05XA
combigan,B05XA
axitinib,B05XA
nexium,B05XA
lr,G04BA
lactated ringers,G04BA
ranexa,G04BA
levemir,G04BA
benicar hct,G04BA
propofol,G04BA
lidocaine 1%,G04BA
fentanyl citrate,G04BA
norepinephrine,G04BA
potassium chloride,G04BA
atropine sulfate,G04BA
prozac,G04BA
combigan,G04BA
axitinib,G04BA
nexium,G04BA
lr,A12BA
lactated ringers,A12BA
ranexa,A12BA
levemir,A12BA
benicar hct,A12BA
propofol,A12BA
lidocaine 1%,A12BA
fentanyl citrate,A12BA
norepinephrine,A12BA
atropine sulfate,A12BA
prozac,A12BA
combigan,A12BA
axitinib,A12BA
nexium,A12BA
lactated ringers,A12CA
ranexa,A12CA
benicar hct,A12CA
atropine sulfate,A12CA
prozac,A12CA
combigan,A12CA
axitinib,A12CA
nexium,A12CA
lactated ringers,B05CB
ranexa,B05CB
benicar hct,B05CB
atropine sulfate,B05CB
prozac,B05CB
combigan,B05CB
axitinib,B05CB
nexium,B05CB
d5lr,A12AA
d5lr,B05XA
d5lr,G04BA
d5lr,B05CX
d5lr,V04CA
d5lr,V06DC
d5lr,A12BA
d5lr,A12CA
d5lr,B05CB
plasmalyte,B05XA
plasmalyte,A12CC
plasmalyte,A12BA
plasmalyte,A12CA
plasmalyte,B05CB
mannitol 20 %,A06AD
mannitol 20%,A06AD
mannitol,A06AD
tyzeka (telbivudine),A06AD
mannitol 20 %,B05BC
mannitol 20%,B05BC
mannitol,B05BC
tyzeka (telbivudine),B05BC
mannitol 20 %,B05CX
mannitol,B05CX
tyzeka (telbivudine),B05CX
mannitol 20 %,R05CB
mannitol 20%,R05CB
mannitol,R05CB
tyzeka (telbivudine),R05CB
ns,B01AB
heparin (iabp),B01AB
heparin (porcine) in ns (pf),B01AB
ns,C05BA
heparin (iabp),C05BA
heparin (porcine) in ns (pf),C05BA
heparin (iabp),S01XA
heparin (porcine) in ns (pf),S01XA
proventil,D06AX
rasagiline,D06AX
proventil,J01GB
rasagiline,J01GB
proventil,S01AA
rasagiline,S01AA
proventil,S02AA
rasagiline,S02AA
proventil,S03AA
rasagiline,S03AA
ns (mini bag plus),A12CA
ns (mini bag plus),B05CB
ns (mini bag plus),B05XA
0.9% sodium chloride (mini bag plus),A12CA
zomig 2.5mg -zmt tabs,A12CA
muro 128,A12CA
baclofen,A12CA
warfarin,A12CA
enablex,A12CA
0.9% sodium chloride (mini bag plus),B05CB
zomig 2.5mg -zmt tabs,B05CB
muro 128,B05CB
baclofen,B05CB
warfarin,B05CB
enablex,B05CB
0.9% sodium chloride (mini bag plus),B05XA
zomig 2.5mg -zmt tabs,B05XA
muro 128,B05XA
warfarin,B05XA
potassium chl 20 meq / 1000 ml d5 1/2 ns,B05CX
lutein,B05CX
blue-green algae (spirulina),B05CX
haloperidol,B05CX
betimol ( timolol ),B05CX
diazepam,B05CX
potassium citrate,B05CX
thera tears,B05CX
lumigan 0.01%,B05CX
verelan pm,B05CX
stalevo 150,B05CX
potassium chl 20 meq / 1000 ml d5 1/2 ns,V04CA
lutein,V04CA
blue-green algae (spirulina),V04CA
haloperidol,V04CA
betimol ( timolol ),V04CA
diazepam,V04CA
potassium citrate,V04CA
thera tears,V04CA
lumigan 0.01%,V04CA
verelan pm,V04CA
stalevo 150,V04CA
potassium chl 20 meq / 1000 ml d5 1/2 ns,V06DC
lutein,V06DC
blue-green algae (spirulina),V06DC
haloperidol,V06DC
betimol ( timolol ),V06DC
diazepam,V06DC
potassium citrate,V06DC
thera tears,V06DC
lumigan 0.01%,V06DC
verelan pm,V06DC
stalevo 150,V06DC
potassium chl 20 meq / 1000 ml d5 1/2 ns,A12BA
lutein,A12BA
blue-green algae (spirulina),A12BA
haloperidol,A12BA
lorazepam,A12BA
betimol ( timolol ),A12BA
diazepam,A12BA
betaseron,A12BA
acetaminophen,A12BA
thera tears,A12BA
lumigan 0.01%,A12BA
verelan pm,A12BA
stalevo 150,A12BA
potassium chl 20 meq / 1000 ml d5 1/2 ns,B05XA
lutein,B05XA
blue-green algae (spirulina),B05XA
betimol ( timolol ),B05XA
acetaminophen,B05XA
thera tears,B05XA
lumigan 0.01%,B05XA
verelan pm,B05XA
stalevo 150,B05XA
potassium chl 20 meq / 1000 ml d5 1/2 ns,A12CA
lutein,A12CA
blue-green algae (spirulina),A12CA
betimol ( timolol ),A12CA
acetaminophen,A12CA
thera tears,A12CA
lumigan 0.01%,A12CA
verelan pm,A12CA
stalevo 150,A12CA
potassium chl 20 meq / 1000 ml d5 1/2 ns,B05CB
lutein,B05CB
blue-green algae (spirulina),B05CB
betimol ( timolol ),B05CB
acetaminophen,B05CB
thera tears,B05CB
lumigan 0.01%,B05CB
verelan pm,B05CB
stalevo 150,B05CB
potassium chl 40 meq / 1000 ml d5 1/2 ns,B05CX
potassium chl 40 meq / 1000 ml d5 1/2 ns,V04CA
potassium chl 40 meq / 1000 ml d5 1/2 ns,V06DC
potassium chl 40 meq / 1000 ml d5 1/2 ns,A12BA
potassium chl 40 meq / 1000 ml d5 1/2 ns,B05XA
potassium chl 40 meq / 1000 ml d5 1/2 ns,A12CA
potassium chl 40 meq / 1000 ml d5 1/2 ns,B05CB
potassium chl 20 meq / 1000 ml d5w,B05CX
potassium chl 20 meq / 1000 ml d5w,V04CA
potassium chl 20 meq / 1000 ml d5w,V06DC
potassium chl 20 meq / 1000 ml d5w,A12BA
potassium chl 20 meq / 1000 ml d5w,B05XA
potassium chl 20 meq / 1000 ml ns,A12BA
avodart,A12BA
thalidomide,A12BA
*nf* novolog,A12BA
ondansetron,A12BA
metoprolol tartrate,A12BA
nepafenac,A12BA
esomeprazole magnesium,A12BA
phenylephrine,A12BA
diltiazem,A12BA
potassium chl 20 meq / 1000 ml ns,B05XA
thalidomide,B05XA
*nf* novolog,B05XA
nepafenac,B05XA
esomeprazole magnesium,B05XA
potassium chl 20 meq / 1000 ml ns,A12CA
thalidomide,A12CA
*nf* novolog,A12CA
nepafenac,A12CA
esomeprazole magnesium,A12CA
potassium chl 20 meq / 1000 ml ns,B05CB
thalidomide,B05CB
*nf* novolog,B05CB
nepafenac,B05CB
esomeprazole magnesium,B05CB
atripla,A12BA
glucosamine,A12BA
erythromycin,A12BA
sodium bicarbonate,A12BA
d5w,A12BA
magnesium sulfate,A12BA
unifiber,A12BA
cyanocobalamin,A12BA
adefovir dipivoxil,A12BA
lacrilube,A12BA
corn starch (bulk),A12BA
calcium gluconate,A12BA
fentanyl,A12BA
midazolam,A12BA
heparin,A12BA
warfarin,A12BA
albuterol 0.083% neb soln,A12BA
hydralazine,A12BA
atripla,B05XA
glucosamine,B05XA
erythromycin,B05XA
unifiber,B05XA
cyanocobalamin,B05XA
adefovir dipivoxil,B05XA
lacrilube,B05XA
corn starch (bulk),B05XA
heparin,B05XA
lidocaine 1% (w/presv.),A12BA
*nf*esomeprazole ,A12BA
*nf*esomeprazole ,B05XA
potassium chl 20 meq / 1000 ml d5ns,B05CX
albuterol,B05CX
fentanyl,B05CX
potassium chl 20 meq / 1000 ml d5ns,V04CA
albuterol,V04CA
fentanyl,V04CA
potassium chl 20 meq / 1000 ml d5ns,V06DC
albuterol,V06DC
fentanyl,V06DC
potassium chl 20 meq / 1000 ml d5ns,A12BA
albuterol,A12BA
potassium chl 20 meq / 1000 ml d5ns,B05XA
albuterol,B05XA
potassium chl 20 meq / 1000 ml d5ns,A12CA
albuterol,A12CA
potassium chl 20 meq / 1000 ml d5ns,B05CB
albuterol,B05CB
potassium chl 40 meq / 1000 ml d5ns,B05CX
potassium chl 40 meq / 1000 ml ns,B05CX
potassium chl 40 meq / 1000 ml d5ns,V04CA
potassium chl 40 meq / 1000 ml ns,V04CA
potassium chl 40 meq / 1000 ml d5ns,V06DC
potassium chl 40 meq / 1000 ml ns,V06DC
potassium chl 40 meq / 1000 ml d5ns,A12BA
potassium chl 40 meq / 1000 ml ns,A12BA
potassium chl 40 meq / 1000 ml d5ns,B05XA
potassium chl 40 meq / 1000 ml ns,B05XA
potassium chl 40 meq / 1000 ml d5ns,A12CA
potassium chl 40 meq / 1000 ml ns,A12CA
potassium chl 40 meq / 1000 ml d5ns,B05CB
potassium chl 40 meq / 1000 ml ns,B05CB
potassium chl 20 meq / 1000 ml d5lr,A12AA
potassium chl 20 meq / 1000 ml d5lr,B05XA
potassium chl 20 meq / 1000 ml d5lr,G04BA
potassium chl 20 meq / 1000 ml d5lr,B05CX
potassium chl 20 meq / 1000 ml d5lr,V04CA
potassium chl 20 meq / 1000 ml d5lr,V06DC
potassium chl 20 meq / 1000 ml d5lr,A12BA
potassium chl 20 meq / 1000 ml d5lr,A12CA
potassium chl 20 meq / 1000 ml d5lr,B05CB
dopamine,C01CA
morphine sulfate,C01CA
oxacillin,J01CF
nitroglycerin,C01DA
insulin pump (self administering medication),C01DA
depakote,C01DA
nitroglycerin,C05AE
insulin pump (self administering medication),C05AE
depakote,C05AE
metronidazole (flagyl),A01AB
neo*iv*metronidazole,A01AB
metronidazole (flagyl),D06BX
neo*iv*metronidazole,D06BX
metronidazole (flagyl),G01AF
neo*iv*metronidazole,G01AF
metronidazole (flagyl),J01XD
neo*iv*metronidazole,J01XD
metronidazole (flagyl),P01AB
neo*iv*metronidazole,P01AB
dobutamine,C01CA
amino acids 4.25% w/ dextrose 5%,N06AX
amino acids 4.25%-dextrose 5%,N06AX
amino acids 4.25% w/ dextrose 5%,A12AA
amino acids 4.25%-dextrose 5%,A12AA
amino acids 4.25% w/ dextrose 5%,B05XA
amino acids 4.25%-dextrose 5%,B05XA
amino acids 4.25% w/ dextrose 5%,G04BA
amino acids 4.25%-dextrose 5%,G04BA
amino acids 4.25% w/ dextrose 5%,B05CX
amino acids 4.25%-dextrose 5%,B05CX
amino acids 4.25% w/ dextrose 5%,V04CA
amino acids 4.25%-dextrose 5%,V04CA
amino acids 4.25% w/ dextrose 5%,V06DC
amino acids 4.25%-dextrose 5%,V06DC
amino acids 4.25% w/ dextrose 5%,B05XB
amino acids 4.25%-dextrose 5%,B05XB
amino acids 4.25% w/ dextrose 5%,A12CC
amino acids 4.25%-dextrose 5%,A12CC
amino acids 4.25% w/ dextrose 5%,V03AB
amino acids 4.25%-dextrose 5%,V03AB
amino acids 4.25% w/ dextrose 5%,A12CA
amino acids 4.25%-dextrose 5%,A12CA
amino acids 4.25% w/ dextrose 5%,B05CB
amino acids 4.25%-dextrose 5%,B05CB
amino acids 5%-dextrose 15%,N06AX
warfarin,N06AX
amino acids 5%-dextrose 15%,A12AA
warfarin,A12AA
amino acids 5%-dextrose 15%,B05XA
amino acids 5%-dextrose 15%,G04BA
warfarin,G04BA
amino acids 5%-dextrose 15%,B05CX
warfarin,B05CX
amino acids 5%-dextrose 15%,V04CA
warfarin,V04CA
amino acids 5%-dextrose 15%,V06DC
warfarin,V06DC
amino acids 5%-dextrose 15%,B05XB
warfarin,B05XB
amino acids 5%-dextrose 15%,A12CC
warfarin,A12CC
amino acids 5%-dextrose 15%,V03AB
warfarin,V03AB
amino acids 5%-dextrose 15%,A12CA
amino acids 5%-dextrose 15%,B05CB
ceftriaxone,J01DD
sarafem,J01DD
midazolam,J01DD
sodium bicarbonate,J01DD
famotidine,A02BA
potassium chloride,A02BA
diphenhydramine,A02BA
norepinephrine,A02BA
phenylephrine,A02BA
propofol,A02BA
fentanyl,A02BA
lidocaine 1%,A02BA
milrinone,C01CE
magnesium citrate,A06AD
magnesium citrate,A12CC
magnesium citrate,B05CB
scot-tussin expectorant,R05CA
nadolol,C07AA
d5w,C07AA
octreotide acetate,C07AA
pantoprazole sodium,C07AA
pindolol,C07AA
probenecid,M04AB
ketoconazole,D01AC
ketoconazole,G01AF
ketoconazole,J02AB
hydroxychloroquine sulfate,P01BA
hydroxychloroquine,P01BA
clonidine patch 0.1 mg/24 hr,C02AC
clonidine patch 0.1 mg/24 hr,N02CX
clonidine patch 0.1 mg/24 hr,S01EA
clonidine patch 0.2 mg/24 hr,C02AC
clonidine patch 0.2 mg/24 hr,N02CX
clonidine patch 0.2 mg/24 hr,S01EA
clonidine patch 0.3 mg/24 hr,C02AC
clonidine patch 0.3 mg/24 hr,N02CX
clonidine patch 0.3 mg/24 hr,S01EA
bromocriptine mesylate,G02CB
bromocriptine mesylate,N04BC
nitroglycerin patch,C01DA
nitroglycerin ,C01DA
nitroglycerin patch,C05AE
nitroglycerin ,C05AE
fentanyl patch,N01AH
fentanyl patch,N02AB
acetaminophen w/codeine,N02BE
acetaminophen w/codeine,R05DA
acetaminophen w/codeine,N02AJ
oxycodone-acetaminophen,N02BE
oxycodone-acetaminophen elixir,N02BE
januvia,N02BE
avodart( dutasteride),N02BE
percocet,N02BE
oxycodone-acetaminophen,N02AA
oxycodone-acetaminophen elixir,N02AA
januvia,N02AA
avodart( dutasteride),N02AA
percocet,N02AA
oxycodone-acetaminophen (5mg-325mg),N02BE
oxycodone,N02BE
famotidine,N02BE
levobunolol,N02BE
isradipine,N02BE
insulin pump,N02BE
theophylline,N02BE
avodart,N02BE
requip xl,N02BE
symbicort 160-4.5,N02BE
oxycodone-acetaminophen (5mg-325mg),N02AA
oxycodone,N02AA
famotidine,N02AA
levobunolol,N02AA
isradipine,N02AA
insulin pump,N02AA
theophylline,N02AA
avodart,N02AA
requip xl,N02AA
insulin pump (self administering medication),N02AA
symbicort 160-4.5,N02AA
oxycodone (immediate release) ,N02AA
oxycodone ,N02AA
oxycodone liquid,N02AA
baclofen,N02AA
oxymorphone,N02AA
cortisone,N02AA
enablex,N02AA
artificial saliva,N02AA
leflunomide,N02AA
meloxicam,N02AA
morphine sr (ms contin),N02AA
morphine sulfate sr,N02AA
revatio,N02AA
erlotinib (tarceva),N02AA
docetaxel (taxotere),L01CD
bupivacaine 0.25%,N01BB
1,N01BB
bupivacaine 0.5%,N01BB
bupivacaine,N01BB
bupivacaine 0.1%,N01BB
flovent hfa,N01BB
diltiazem,C05AE
diltiazem,C08DB
meperidine (pf),N02AB
mepe,N02AB
meperi,N02AB
meperidine pf,N02AB
diazepam,N05BA
valium,N05BA
heparin,N05BA
melatonin,N05BA
hydromorphone (dilaudid),N02AA
insulin detemir,N02AA
budesonide (nasal),N02AA
chantix,N02AA
nexium,N02AA
zantac 75,N02AA
lunesta,N02AA
hydromorphone,N02AA
warfarin,N02AA
lidocaine 1%,N02AA
propofol,N02AA
potassium chloride,N02AA
ranolazine,N02AA
etidronate disodium,N02AA
combigan,N02AA
lapatinib,N02AA
fentanyl citrate,N02AA
norepinephrine,C01CA
nalbuphine hcl,N02AF
vecuronium bromide,M03AC
dexmedetomidine hcl,N05CM
dexmedetomidine,N05CM
insulin pump,N05CM
bupivacaine 0.75%,N01BB
procainamide,C01BA
lorazepam 2mg syringe,N05BA
naltrexone,N05BA
insulin pump,N05BA
mometasone,N05BA
lorazepam 2mg syringe ,N05BA
propofol,N05BA
lorazepam 2 mg syringe ,N05BA
lorazepam 2mg syringa,N05BA
lorazepam 2 mg syringe,N05BA
loraze,N05BA
lidocaine,N05BA
albuterol 0.083% neb soln,N05BA
ipratropium bromide neb,N05BA
racepinephrine,N05BA
claravis,N05BA
pristiq,N05BA
potassium chloride (powder),N05BA
haloperidol,N05BA
lidocaine 1% p.f.,N05BA
ketamine,N01AX
ketamine hcl,N01AX
ketamine (for intubation),N01AX
ketamine ,N01AX
ketamin,N01AX
midazolam,N05CD
mannitol 20%,N05CD
deferoxamine mesylate,V03AC
deferoxamine (dfo) *ind*,V03AC
hydromorphone-hp,N02AA
lidocaine 0.5%/epinephrine,A01AD
lidocaine 0.5%,A01AD
lidocaine 0.5%/epinephrine,B02BC
lidocaine 0.5%,B02BC
lidocaine 0.5%/epinephrine,C01CA
lidocaine 0.5%,C01CA
lidocaine 0.5%/epinephrine,R01AA
lidocaine 0.5%,R01AA
lidocaine 0.5%/epinephrine,R03AA
lidocaine 0.5%,R03AA
lidocaine 0.5%/epinephrine,S01EA
lidocaine 0.5%,S01EA
lidocaine 0.5%/epinephrine,C01BB
lidocaine 0.5%,C01BB
lidocaine 0.5%/epinephrine,C05AD
lidocaine 0.5%,C05AD
lidocaine 0.5%/epinephrine,D04AB
lidocaine 0.5%,D04AB
lidocaine 0.5%/epinephrine,N01BB
lidocaine 0.5%,N01BB
lidocaine 0.5%/epinephrine,R02AD
lidocaine 0.5%,R02AD
lidocaine 0.5%/epinephrine,S01HA
lidocaine 0.5%,S01HA
lidocaine 0.5%/epinephrine,S02DA
lidocaine 0.5%,S02DA
lidocaine 1%/epinephrine 1:100000,A01AD
lidocaine 1%/epinephrine 1:100000,B02BC
lidocaine 1%/epinephrine 1:100000,C01CA
lidocaine 1%/epinephrine 1:100000,R01AA
lidocaine 1%/epinephrine 1:100000,R03AA
lidocaine 1%/epinephrine 1:100000,S01EA
lidocaine 1%/epinephrine 1:100000,C01BB
lidocaine 1%/epinephrine 1:100000,C05AD
lidocaine 1%/epinephrine 1:100000,D04AB
lidocaine 1%/epinephrine 1:100000,N01BB
lidocaine 1%/epinephrine 1:100000,R02AD
lidocaine 1%/epinephrine 1:100000,S01HA
lidocaine 1%/epinephrine 1:100000,S02DA
"lidocaine 1%/epinephrine 1:100,000",A01AD
"lidocaine 1%/epinephrine 1:100,000",B02BC
"lidocaine 1%/epinephrine 1:100,000",C01CA
"lidocaine 1%/epinephrine 1:100,000",R01AA
"lidocaine 1%/epinephrine 1:100,000",R03AA
"lidocaine 1%/epinephrine 1:100,000",S01EA
"lidocaine 1%/epinephrine 1:100,000",C01BB
"lidocaine 1%/epinephrine 1:100,000",C05AD
"lidocaine 1%/epinephrine 1:100,000",D04AB
"lidocaine 1%/epinephrine 1:100,000",N01BB
"lidocaine 1%/epinephrine 1:100,000",R02AD
"lidocaine 1%/epinephrine 1:100,000",S01HA
"lidocaine 1%/epinephrine 1:100,000",S02DA
lidocaine 1.5%/epinephrine p.f.,A01AD
lidocaine,A01AD
lidocaine 1.5%/epinephrine p.f.,B02BC
lidocaine,B02BC
lidocaine 1.5%/epinephrine p.f.,C01CA
lidocaine,C01CA
lidocaine 1.5%/epinephrine p.f.,R01AA
lidocaine,R01AA
lidocaine 1.5%/epinephrine p.f.,R03AA
lidocaine,R03AA
lidocaine 1.5%/epinephrine p.f.,S01EA
lidocaine,S01EA
lidocaine 1.5%/epinephrine p.f.,C01BB
lidocaine 1.5%/epinephrine p.f.,C05AD
lidocaine 1.5%/epinephrine p.f.,D04AB
lidocaine 1.5%/epinephrine p.f.,N01BB
lidocaine 1.5%/epinephrine p.f.,R02AD
lidocaine 1.5%/epinephrine p.f.,S01HA
lidocaine 1.5%/epinephrine p.f.,S02DA
lidocaine 2%/epinephrine,A01AD
lidocaine 2%/epinephrine p.f.,A01AD
"lidocaine 2%/epi 1:100,000",A01AD
lidocaine 2%/epinephrine,B02BC
lidocaine 2%/epinephrine p.f.,B02BC
"lidocaine 2%/epi 1:100,000",B02BC
lidocaine 2%/epinephrine,C01CA
lidocaine 2%/epinephrine p.f.,C01CA
"lidocaine 2%/epi 1:100,000",C01CA
lidocaine 2%/epinephrine,R01AA
lidocaine 2%/epinephrine p.f.,R01AA
"lidocaine 2%/epi 1:100,000",R01AA
lidocaine 2%/epinephrine,R03AA
lidocaine 2%/epinephrine p.f.,R03AA
"lidocaine 2%/epi 1:100,000",R03AA
lidocaine 2%/epinephrine,S01EA
lidocaine 2%/epinephrine p.f.,S01EA
"lidocaine 2%/epi 1:100,000",S01EA
lidocaine 2%/epinephrine,C01BB
lidocaine 2%/epinephrine p.f.,C01BB
"lidocaine 2%/epi 1:100,000",C01BB
lidocaine 2%/epinephrine,C05AD
lidocaine 2%/epinephrine p.f.,C05AD
"lidocaine 2%/epi 1:100,000",C05AD
lidocaine 2%/epinephrine,D04AB
lidocaine 2%/epinephrine p.f.,D04AB
"lidocaine 2%/epi 1:100,000",D04AB
lidocaine 2%/epinephrine,N01BB
lidocaine 2%/epinephrine p.f.,N01BB
"lidocaine 2%/epi 1:100,000",N01BB
lidocaine 2%/epinephrine,R02AD
lidocaine 2%/epinephrine p.f.,R02AD
"lidocaine 2%/epi 1:100,000",R02AD
lidocaine 2%/epinephrine,S01HA
lidocaine 2%/epinephrine p.f.,S01HA
"lidocaine 2%/epi 1:100,000",S01HA
lidocaine 2%/epinephrine,S02DA
lidocaine 2%/epinephrine p.f.,S02DA
"lidocaine 2%/epi 1:100,000",S02DA
sodium acetate,B05XA
acetylcysteine 20%,R05CB
acetylcysteine 20%,S01XA
acetylcysteine 20%,V03AB
verapamil hcl,C08DA
verapamil,C08DA
lidocain,C01BB
lidocain,C05AD
lidocain,D04AB
lidocain,N01BB
lidocain,R02AD
lidocain,S01HA
lidocain,S02DA
lidocaine 1%,C01BB
magnesium oxide-mg aa chelate,C01BB
1,C01BB
lidocaine 1%,C05AD
magnesium oxide-mg aa chelate,C05AD
1,C05AD
lidocaine 1%,D04AB
magnesium oxide-mg aa chelate,D04AB
1,D04AB
lidocaine 1%,N01BB
magnesium oxide-mg aa chelate,N01BB
lidocaine 1%,R02AD
magnesium oxide-mg aa chelate,R02AD
1,R02AD
lidocaine 1%,S01HA
magnesium oxide-mg aa chelate,S01HA
1,S01HA
lidocaine 1%,S02DA
magnesium oxide-mg aa chelate,S02DA
1,S02DA
lidocaine 2%,C01BB
lidocaine 2% p.f.,C01BB
lidocaine 2%,C05AD
lidocaine 2% p.f.,C05AD
lidocaine 2%,D04AB
lidocaine 2% p.f.,D04AB
lidocaine 2%,N01BB
lidocaine 2% p.f.,N01BB
lidocaine 2%,R02AD
lidocaine 2% p.f.,R02AD
lidocaine 2%,S01HA
lidocaine 2% p.f.,S01HA
lidocaine 2%,S02DA
lidocaine 2% p.f.,S02DA
lidocaine 1% (buffered),C01BB
lidocaine 1% (buffered),C05AD
lidocaine 1% (buffered),D04AB
lidocaine 1% (buffered),N01BB
lidocaine 1% (buffered),R02AD
lidocaine 1% (buffered),S01HA
lidocaine 1% (buffered),S02DA
vancomycin,A07AA
vancomycin enema,A07AA
vancomycin desensitization,A07AA
clarinex,A07AA
istalol,A07AA
insulin aspart,A07AA
phenylephrine,A07AA
mupirocin nasal ointment 2%,A07AA
betamethasone,A07AA
vancomycin,J01XA
vancomycin enema,J01XA
vancomycin desensitization,J01XA
clarinex,J01XA
istalol,J01XA
insulin aspart,J01XA
propofol,J01XA
phenylephrine,J01XA
mupirocin nasal ointment 2%,J01XA
betamethasone,J01XA
aminocaproic acid,B02AA
aminocapr,B02AA
aminocaproic,B02AA
aminocaproic ,B02AA
lidocaine 1% p,C01BB
insulin detemir,C01BB
lidocaine 1% ,C01BB
lidocaine 1% pf,C01BB
lidocaine 1% p,C05AD
insulin detemir,C05AD
lidocaine 1% ,C05AD
lidocaine 1% pf,C05AD
lidocaine 1% p,D04AB
insulin detemir,D04AB
lidocaine 1% ,D04AB
lidocaine 1% pf,D04AB
lidocaine 1% p,N01BB
insulin detemir,N01BB
lidocaine 1% ,N01BB
lidocaine 1% pf,N01BB
lidocaine 1% p,R02AD
insulin detemir,R02AD
lidocaine 1% ,R02AD
lidocaine 1% pf,R02AD
lidocaine 1% p,S01HA
insulin detemir,S01HA
lidocaine 1% ,S01HA
lidocaine 1% pf,S01HA
lidocaine 1% p,S02DA
insulin detemir,S02DA
lidocaine 1% ,S02DA
lidocaine 1% pf,S02DA
ciprofloxacin iv,J01MA
vesicare,J01MA
ciprofloxacin iv,S01AE
vesicare,S01AE
ciprofloxacin iv,S02AA
vesicare,S02AA
ciprofloxacin iv,S03AA
vesicare,S03AA
neo*nasal*sodium chloride 0.9%,A12CA
neo*nasal*sodium chloride 0.9%,B05CB
neo*nasal*sodium chloride 0.9%,B05XA
sodium chloride 0.9%,A12CA
sodium chloride 0.9%,B05CB
sodium chloride 0.9%,B05XA
dextrose 50%,B05CX
lamotrigine,B05CX
kayexalate,B05CX
dextros,B05CX
brimonidine,B05CX
nizatidine,B05CX
slow fe,B05CX
dextrose,B05CX
atropine sulfate,B05CX
ampyra,B05CX
epinephrine,B05CX
exelon,B05CX
proglycem,B05CX
dextr,B05CX
hydralazine,B05CX
lidocaine 1% p.f.,B05CX
calcium gluconate,B05CX
dextrose 50%,V04CA
lamotrigine,V04CA
kayexalate,V04CA
dextros,V04CA
brimonidine,V04CA
nizatidine,V04CA
slow fe,V04CA
dextrose,V04CA
atropine sulfate,V04CA
ampyra,V04CA
epinephrine,V04CA
exelon,V04CA
proglycem,V04CA
dextr,V04CA
hydralazine,V04CA
lidocaine 1% p.f.,V04CA
calcium gluconate,V04CA
dextrose 50%,V06DC
lamotrigine,V06DC
kayexalate,V06DC
dextros,V06DC
brimonidine,V06DC
nizatidine,V06DC
slow fe,V06DC
dextrose,V06DC
atropine sulfate,V06DC
ampyra,V06DC
epinephrine,V06DC
exelon,V06DC
proglycem,V06DC
dextr,V06DC
hydralazine,V06DC
lidocaine 1% p.f.,V06DC
calcium gluconate,V06DC
epinephrine hcl,A01AD
epinephrine,A01AD
epinephrine 1:1000,A01AD
epi,A01AD
epinephrine base,A01AD
epinephrine hcl,B02BC
epinephrine,B02BC
epinephrine 1:1000,B02BC
epi,B02BC
epinephrine base,B02BC
epinephrine hcl,C01CA
epinephrine,C01CA
epinephrine 1:1000,C01CA
epi,C01CA
epinephrine base,C01CA
epinephrine hcl,R01AA
epinephrine,R01AA
epinephrine 1:1000,R01AA
epi,R01AA
epinephrine base,R01AA
